Company,Symbol,Scrip-code,Sector,Industry,Group,Face Value,ISIN No,Issuer Name
ABB India Ltd,ABB,500002,Equity,Active,A ,2,INE117A01022,ABB India Limited
Aegis Logistics Ltd,AEGISLOG,500003,Equity,Active,A ,1,INE208C01025,Aegis Logistics Ltd.
Amara Raja Energy & Mobility Ltd,ARE&M,500008,Equity,Active,A ,1,INE885A01032,Amara Raja Energy & Mobility Limited
Ambalal Sarabhai Enterprises Ltd,AMBALALSA,500009,Equity,Active,X ,10,INE432A01017,Ambalal Sarabhai Enterprise Ltd.
Andhra Petrochemicals Ltd,ANDHRAPET,500012,Equity,Active,X ,10,INE714B01016,Andhra Petrochemicals Ltd.
Ansal Properties & Infrastructure Ltd,ANSALAPI,500013,Equity,Active,Z ,5,INE436A01026,Ansal Properties & Infrastructure Ltd.
Utique Enterprises Ltd,UTIQUE,500014,Equity,Active,X ,10,INE096A01010,UTIQUE ENTERPRISES LIMITED
Aruna Hotels Ltd,ARUNAHTEL,500016,Equity,Active,X ,10,INE957C01019,Aruna Hotels Ltd.
Bombay Dyeing & Manufacturing Company Ltd,BOMDYEING,500020,Equity,Active,A ,2,INE032A01023,Bombay Dyeing & Mfg. Co. Ltd.
Asian Hotels (North) Ltd,ASIANHOTNR,500023,Equity,Active,B ,10,INE363A01022,Asian Hotels (North) Limited
Atul Ltd,ATUL,500027,Equity,Active,A ,10,INE100A01010,Atul Limited.
ATV Projects India Ltd,ATVPR,500028,Equity,Active,X ,10,INE447A01015,ATV Projects India Ltd
Bajaj Electricals Ltd,BAJAJELEC,500031,Equity,Active,A ,2,INE193E01025,Bajaj Electricals Ltd.
Bajaj Hindusthan Sugar Ltd,BAJAJHIND,500032,Equity,Active,A ,1,INE306A01021,Bajaj Hindusthan Sugar Limited
Force Motors Ltd,FORCEMOT,500033,Equity,Active,A ,10,INE451A01017,Force Motors Limited
Bajaj Finance Ltd,BAJFINANCE,500034,Equity,Active,A ,1,INE296A01032,Bajaj Finance Limited
Balrampur Chini Mills Ltd,BALRAMCHIN,500038,Equity,Active,A ,1,INE119A01028,Balrampur Chini Mills Ltd.
Banco Products (India) Ltd,BANCOINDIA,500039,Equity,Active,A ,2,INE213C01025,Banco Products (India) Ltd.
Aditya Birla Real Estate Ltd,ABREL,500040,Equity,Active,A ,10,INE055A01016,ADITYA BIRLA REAL ESTATE LIMITED
Bannari Amman Sugars Ltd,BANARISUG,500041,Equity,Active,B ,10,INE459A01010,Bannari Amman Sugars Ltd.
BASF India Ltd,BASF,500042,Equity,Active,A ,10,INE373A01013,BASF India Ltd
Bata India Ltd,BATAINDIA,500043,Equity,Active,A ,5,INE176A01028,Bata India Limited
BEML Ltd,BEML,500048,Equity,Active,A ,5,INE258A01024,BEML Ltd
Bharat Electronics Ltd,BEL,500049,Equity,Active,A ,1,INE263A01024,Bharat Electronics Ltd.
Bhagawati Gas Ltd,BHAGGAS,500051,Equity,Active,XT,10,INE099C01010,Bhagawati Gas Limited
Bhansali Engineering Polymers Ltd,BEPL,500052,Equity,Active,B ,1,INE922A01025,Bhansali Engineering Polymers Ltd.
Bihar Sponge Iron Ltd,BIHSPONG,500058,Equity,Active,XT,10,INE819C01011,Bihar Sponge Iron Ltd
Bil Vyapar Ltd,BILVYAPAR,500059,Equity,Active,T ,10,INE071A01013,BIL VYAPAR LIMITED
Birla Cable Ltd,BIRLACABLE,500060,Equity,Active,B ,10,INE800A01015,Birla Cable Limited
Blue Star Ltd,BLUESTARCO,500067,Equity,Active,A ,2,INE472A01039,Blue Star Ltd
Disa India Ltd,DISAQ,500068,Equity,Active,B ,10,INE131C01011,Disa India Ltd.
Quest Capital Markets Ltd,QUESTCAP,500069,Equity,Active,X ,10,INE418C01012,QUEST CAPITAL MARKETS LIMITED
BPL Ltd,BPL,500074,Equity,Active,B ,10,INE110A01019,BPL Ltd.
Oriental Aromatics Ltd,OAL,500078,Equity,Active,B ,5,INE959C01023,ORIENTAL AROMATICS LIMITED
Century Extrusions Ltd,CENTEXT,500083,Equity,Active,B ,1,INE281A01026,Century Extrusions Ltd.
